participant_id,question_id,question_order_within_participant,question_text,answer_text
P1,Q6,1,"Before we begin, I want to reiterate what was on the consent form: your participation is completely voluntary. You can choose to skip any question or stop the interview at any time without any penalty. This session will be audio-recorded for analysis, but all information will be kept confidential and anonymized. Do you have any questions for me before we get started?","To start, it would be nice if you could tell us a thing or two about you."
P1,Q1,2,"1. Could you tell me a bit about yourself? For instance, what are you studying, and what year are you in?","Computer Engineering, year 4"
P1,Q2,3,2. Have you heard about the term ‘food security’ or ‘food insecurity’?,No
P1,Q3,4,"3. In your own words, what does the term 'food security' or 'food insecurity' mean to you as a UBC student?",
P1,Q7,5,Could you please let us know if the confirmation message is sufficiently clear?,"Confirmation of ordering was fine
How does the foods maintain its freshness (Uber eats -> When they start buying the food and when they pickup) -> Should mention in the notice part or at first part of the app
The process of picking up items should be bolded and more clear"
P1,Q10,6,How would you rate the systems based on this experience?,"5
Grocery (Not preferred -> There’s so many other grocery apps and don’t know she should use this app)
Better for the food bank"
P1,Q11,7,Is there any part that makes you confused or that you just dislike about it?,Confused about grocery ordering and food bank ordering options (Those who do not have guide of builders would not realize the difference between those)
P1,Q5,8,Anything else that stood out to you? Any suggestions?,Grocery is better for the delievery
P1,Q19,9,"Were there any difficulties using the app, such as selecting items, scheduling pick-up, or navigating the map, at any point?",
P1,Q20,10,"When you opened and used the app for the first time, did you feel you knew what steps you needed to take to order food and schedule a pick-up?",Yes
P1,Q21,11,"When you opened the map, did you already know how to use it?",Map should allow zoom in zoom out (UBC students would know)
P1,Q8,12,Did the map make it easy for you to select a locker location for pickup?,Yes
P1,Q13,13,Was it clear to you when you had confirmed a locker for pickup?,Yes
P1,Q9,14,Did the sections in the app make it easy for you to find and select the food items you wanted?,Search button is better
P1,Q15,15,Was it clear what food items you were selecting for checkout within each section?,With picture would be better
P1,Q17,16,Was it easy to see which items were available in each section?,Yes
P1,Q14,17,Was it clear to you when your selections were successfully added to the checkout bin?,Yes Cart number goes up clearly
P1,Q16,18,Was it clear when you had successfully completed the checkout and received confirmation of your pick-up time and location?,Yes
P1,Q4,19,"After completing the checkout, did you feel confident that your order and pick-up details were correct?","Yes
Thank you for all your honest answers today. If there is anything you want to ask or please feel free to let me know; otherwise, that will conclude it. Thanks again for participating."
P2,Q6,1,"Before we begin, I want to reiterate what was on the consent form: your participation is completely voluntary. You can choose to skip any question or stop the interview at any time without any penalty. This session will be audio-recorded for analysis, but all information will be kept confidential and anonymized. Do you have any questions for me before we get started?","To start, it would be nice if you could tell us a thing or two about you."
P2,Q1,2,"1. Could you tell me a bit about yourself? For instance, what are you studying, and what year are you in?","Astronomy, 3rd Year"
P2,Q2,3,2. Have you heard about the term ‘food security’ or ‘food insecurity’?,Yes
P2,Q3,4,"3. In your own words, what does the term 'food security' or 'food insecurity' mean to you as a UBC student?","Depends on the situation, does the demand of food is enough or not"
P2,Q7,5,Could you please let us know if the confirmation message is sufficiently clear?,
P2,Q10,6,How would you rate the systems based on this experience?,"It would be convenient to have this feature (since going to the store can be annoying).
It could be good for people who find delivery fees burdensome.
If bags or boxes are created during pickup, it would be nice to have something like a return box (not sure if people would actually return them, but having one would be good)."
P2,Q11,7,Is there any part that makes you confused or that you just dislike about it?,"Click add to cart, similar items make confusion, can’t remeber the quantitty of specific items.
The subtitle text is too small.
Quantity and price could be clearer.
It would be nice if items could be added or deleted using “+” and “–” buttons."
P2,Q5,8,Anything else that stood out to you? Any suggestions?,
P2,Q19,9,"Were there any difficulties using the app, such as selecting items, scheduling pick-up, or navigating the map, at any point?",
P2,Q20,10,"When you opened and used the app for the first time, did you feel you knew what steps you needed to take to order food and schedule a pick-up?","I came in already knowing it was a shopping app, so it was fine, but it would be easier to understand if you showed some tips and gave enough explanation first."
P2,Q21,11,"When you opened the map, did you already know how to use it?","When selecting a location or hovering over it on the map, it would be easier to understand if there were a picture showing exactly where it is, rather than just text."
